group1,group2
5.0_female,6.0_female
5.0_female,5.0_male
6.0_female,3.0_female
6.0_female,2.0_female
6.0_female,4.0_female
6.0_female,5.0_male
6.0_female,4.0_male
6.0_female,6.0_male
6.0_female,2.0_male
3.0_female,2.0_female
3.0_female,4.0_female
3.0_female,4.0_male
3.0_female,6.0_male
3.0_female,2.0_male
3.0_female,3.0_male
2.0_female,4.0_female
2.0_female,4.0_male
2.0_female,6.0_male
2.0_female,3.0_male
4.0_female,4.0_male
4.0_female,6.0_male
4.0_female,2.0_male
4.0_male,6.0_male
4.0_male,2.0_male
4.0_male,3.0_male
6.0_male,2.0_male
2.0_male,3.0_male
